min_frequency,consistency_threshold,candidate_label,source_block,frequency,consistency_rounded,l3b_vlm_count,promoted
2,0.00,quiet_corner,E4.1,4,0.75,4,True
2,0.00,wet_gloves,E4b.1,4,1.00,4,True
2,0.01,deliveries,E4.1,4,0.50,3,True
2,0.01,quiet_corner,E4.1,4,0.75,4,True
2,0.01,wet_gloves,E4b.1,4,1.00,4,True
2,0.02,deliveries,E4.1,4,0.50,3,True
2,0.02,quiet_corner,E4.1,4,0.75,4,True
2,0.02,wet_gloves,E4b.1,4,1.00,4,True
2,0.03,deliveries,E4.1,4,0.50,3,True
2,0.03,quiet_corner,E4.1,4,0.75,4,True
2,0.03,wet_gloves,E4b.1,4,1.00,4,True
2,0.04,deliveries,E4.1,4,0.50,3,True
2,0.04,quiet_corner,E4.1,4,0.75,4,True
2,0.04,wet_gloves,E4b.1,4,1.00,4,True
2,0.05,deliveries,E4.1,4,0.50,3,True
2,0.05,quiet_corner,E4.1,4,0.75,4,True
2,0.05,wet_gloves,E4b.1,4,1.00,4,True
2,0.06,deliveries,E4.1,4,0.50,3,True
2,0.06,quiet_corner,E4.1,4,0.75,4,True
2,0.06,wet_gloves,E4b.1,4,1.00,4,True
2,0.07,deliveries,E4.1,4,0.50,3,True
2,0.07,quiet_corner,E4.1,4,0.75,4,True
2,0.07,wet_gloves,E4b.1,4,1.00,4,True
2,0.08,deliveries,E4.1,4,0.50,3,True
2,0.08,quiet_corner,E4.1,4,0.75,4,True
2,0.08,wet_gloves,E4b.1,4,1.00,4,True
2,0.09,deliveries,E4.1,4,0.50,3,True
2,0.09,quiet_corner,E4.1,4,0.75,4,True
2,0.09,wet_gloves,E4b.1,4,1.00,4,True
2,0.10,deliveries,E4.1,4,0.50,3,True
2,0.10,quiet_corner,E4.1,4,0.75,4,True
2,0.10,wet_gloves,E4b.1,4,1.00,4,True
2,0.11,deliveries,E4.1,4,0.50,3,True
2,0.11,quiet_corner,E4.1,4,0.75,4,True
2,0.11,wet_gloves,E4b.1,4,1.00,4,True
2,0.12,deliveries,E4.1,4,0.50,3,True
2,0.12,quiet_corner,E4.1,4,0.75,4,True
2,0.12,wet_gloves,E4b.1,4,1.00,4,True
2,0.13,deliveries,E4.1,4,0.50,3,True
2,0.13,quiet_corner,E4.1,4,0.75,4,True
2,0.13,wet_gloves,E4b.1,4,1.00,4,True
2,0.14,deliveries,E4.1,4,0.50,3,True
2,0.14,quiet_corner,E4.1,4,0.75,4,True
2,0.14,wet_gloves,E4b.1,4,1.00,4,True
2,0.15,deliveries,E4.1,4,0.50,3,True
2,0.15,quiet_corner,E4.1,4,0.75,4,True
2,0.15,wet_gloves,E4b.1,4,1.00,4,True
2,0.16,deliveries,E4.1,4,0.50,3,True
2,0.16,quiet_corner,E4.1,4,0.75,4,True
2,0.16,wet_gloves,E4b.1,4,1.00,4,True
2,0.17,deliveries,E4.1,4,0.50,3,True
2,0.17,quiet_corner,E4.1,4,0.75,4,True
2,0.17,wet_gloves,E4b.1,4,1.00,4,True
2,0.18,deliveries,E4.1,4,0.50,3,True
2,0.18,quiet_corner,E4.1,4,0.75,4,True
2,0.18,wet_gloves,E4b.1,4,1.00,4,True
2,0.19,deliveries,E4.1,4,0.50,3,True
2,0.19,quiet_corner,E4.1,4,0.75,4,True
2,0.19,wet_gloves,E4b.1,4,1.00,4,True
2,0.20,deliveries,E4.1,4,0.50,3,True
2,0.20,quiet_corner,E4.1,4,0.75,4,True
2,0.20,wet_gloves,E4b.1,4,1.00,4,True
2,0.21,deliveries,E4.1,4,0.50,3,True
2,0.21,quiet_corner,E4.1,4,0.75,4,True
2,0.21,wet_gloves,E4b.1,4,1.00,4,True
2,0.22,deliveries,E4.1,4,0.50,3,True
2,0.22,quiet_corner,E4.1,4,0.75,4,True
2,0.22,wet_gloves,E4b.1,4,1.00,4,True
2,0.23,deliveries,E4.1,4,0.50,3,True
2,0.23,quiet_corner,E4.1,4,0.75,4,True
2,0.23,wet_gloves,E4b.1,4,1.00,4,True
2,0.24,deliveries,E4.1,4,0.50,3,True
2,0.24,quiet_corner,E4.1,4,0.75,4,True
2,0.24,wet_gloves,E4b.1,4,1.00,4,True
2,0.25,deliveries,E4.1,4,0.50,3,True
2,0.25,quiet_corner,E4.1,4,0.75,4,True
2,0.25,wet_gloves,E4b.1,4,1.00,4,True
2,0.26,deliveries,E4.1,4,0.50,3,True
2,0.26,quiet_corner,E4.1,4,0.75,4,True
2,0.26,wet_gloves,E4b.1,4,1.00,4,True
2,0.27,deliveries,E4.1,4,0.50,3,True
2,0.27,quiet_corner,E4.1,4,0.75,4,True
2,0.27,wet_gloves,E4b.1,4,1.00,4,True
2,0.28,deliveries,E4.1,4,0.50,3,True
2,0.28,quiet_corner,E4.1,4,0.75,4,True
2,0.28,wet_gloves,E4b.1,4,1.00,4,True
2,0.29,deliveries,E4.1,4,0.50,3,True
2,0.29,quiet_corner,E4.1,4,0.75,4,True
2,0.29,wet_gloves,E4b.1,4,1.00,4,True
2,0.30,deliveries,E4.1,4,0.50,3,True
2,0.30,quiet_corner,E4.1,4,0.75,4,True
2,0.30,wet_gloves,E4b.1,4,1.00,4,True
2,0.31,deliveries,E4.1,4,0.50,3,True
2,0.31,quiet_corner,E4.1,4,0.75,4,True
2,0.31,wet_gloves,E4b.1,4,1.00,4,True
2,0.32,deliveries,E4.1,4,0.50,3,True
2,0.32,quiet_corner,E4.1,4,0.75,4,True
2,0.32,wet_gloves,E4b.1,4,1.00,4,True
2,0.33,deliveries,E4.1,4,0.50,3,True
2,0.33,quiet_corner,E4.1,4,0.75,4,True
2,0.33,wet_gloves,E4b.1,4,1.00,4,True
2,0.34,deliveries,E4.1,4,0.50,3,True
2,0.34,quiet_corner,E4.1,4,0.75,4,True
2,0.34,wet_gloves,E4b.1,4,1.00,4,True
2,0.35,deliveries,E4.1,4,0.50,3,True
2,0.35,quiet_corner,E4.1,4,0.75,4,True
2,0.35,wet_gloves,E4b.1,4,1.00,4,True
2,0.36,deliveries,E4.1,4,0.50,3,True
2,0.36,quiet_corner,E4.1,4,0.75,4,True
2,0.36,wet_gloves,E4b.1,4,1.00,4,True
2,0.37,deliveries,E4.1,4,0.50,3,True
2,0.37,quiet_corner,E4.1,4,0.75,4,True
2,0.37,wet_gloves,E4b.1,4,1.00,4,True
2,0.38,deliveries,E4.1,4,0.50,3,True
2,0.38,quiet_corner,E4.1,4,0.75,4,True
2,0.38,wet_gloves,E4b.1,4,1.00,4,True
2,0.39,deliveries,E4.1,4,0.50,3,True
2,0.39,quiet_corner,E4.1,4,0.75,4,True
2,0.39,wet_gloves,E4b.1,4,1.00,4,True
2,0.40,deliveries,E4.1,4,0.50,3,True
2,0.40,quiet_corner,E4.1,4,0.75,4,True
2,0.40,wet_gloves,E4b.1,4,1.00,4,True
2,0.41,deliveries,E4.1,4,0.50,3,True
2,0.41,quiet_corner,E4.1,4,0.75,4,True
2,0.41,wet_gloves,E4b.1,4,1.00,4,True
2,0.42,deliveries,E4.1,4,0.50,3,True
2,0.42,quiet_corner,E4.1,4,0.75,4,True
2,0.42,wet_gloves,E4b.1,4,1.00,4,True
2,0.43,deliveries,E4.1,4,0.50,3,True
2,0.43,quiet_corner,E4.1,4,0.75,4,True
2,0.43,wet_gloves,E4b.1,4,1.00,4,True
2,0.44,deliveries,E4.1,4,0.50,3,True
2,0.44,quiet_corner,E4.1,4,0.75,4,True
2,0.44,wet_gloves,E4b.1,4,1.00,4,True
2,0.45,deliveries,E4.1,4,0.50,3,True
2,0.45,quiet_corner,E4.1,4,0.75,4,True
2,0.45,wet_gloves,E4b.1,4,1.00,4,True
2,0.46,deliveries,E4.1,4,0.50,3,True
2,0.46,quiet_corner,E4.1,4,0.75,4,True
2,0.46,wet_gloves,E4b.1,4,1.00,4,True
2,0.47,deliveries,E4.1,4,0.50,3,True
2,0.47,quiet_corner,E4.1,4,0.75,4,True
2,0.47,wet_gloves,E4b.1,4,1.00,4,True
2,0.48,deliveries,E4.1,4,0.50,3,True
2,0.48,quiet_corner,E4.1,4,0.75,4,True
2,0.48,wet_gloves,E4b.1,4,1.00,4,True
2,0.49,deliveries,E4.1,4,0.50,3,True
2,0.49,quiet_corner,E4.1,4,0.75,4,True
2,0.49,wet_gloves,E4b.1,4,1.00,4,True
2,0.50,deliveries,E4.1,4,0.50,3,True
2,0.50,quiet_corner,E4.1,4,0.75,4,True
2,0.50,wet_gloves,E4b.1,4,1.00,4,True
2,0.51,deliveries,E4.1,4,0.50,3,False
2,0.51,quiet_corner,E4.1,4,0.75,4,True
2,0.51,wet_gloves,E4b.1,4,1.00,4,True
2,0.52,deliveries,E4.1,4,0.50,3,False
2,0.52,quiet_corner,E4.1,4,0.75,4,True
2,0.52,wet_gloves,E4b.1,4,1.00,4,True
2,0.53,deliveries,E4.1,4,0.50,3,False
2,0.53,quiet_corner,E4.1,4,0.75,4,True
2,0.53,wet_gloves,E4b.1,4,1.00,4,True
2,0.54,deliveries,E4.1,4,0.50,3,False
2,0.54,quiet_corner,E4.1,4,0.75,4,True
2,0.54,wet_gloves,E4b.1,4,1.00,4,True
2,0.55,deliveries,E4.1,4,0.50,3,False
2,0.55,quiet_corner,E4.1,4,0.75,4,True
2,0.55,wet_gloves,E4b.1,4,1.00,4,True
2,0.56,deliveries,E4.1,4,0.50,3,False
2,0.56,quiet_corner,E4.1,4,0.75,4,True
2,0.56,wet_gloves,E4b.1,4,1.00,4,True
2,0.57,deliveries,E4.1,4,0.50,3,False
2,0.57,quiet_corner,E4.1,4,0.75,4,True
2,0.57,wet_gloves,E4b.1,4,1.00,4,True
2,0.58,deliveries,E4.1,4,0.50,3,False
2,0.58,quiet_corner,E4.1,4,0.75,4,True
2,0.58,wet_gloves,E4b.1,4,1.00,4,True
2,0.59,deliveries,E4.1,4,0.50,3,False
2,0.59,quiet_corner,E4.1,4,0.75,4,True
2,0.59,wet_gloves,E4b.1,4,1.00,4,True
2,0.60,deliveries,E4.1,4,0.50,3,False
2,0.60,quiet_corner,E4.1,4,0.75,4,True
2,0.60,wet_gloves,E4b.1,4,1.00,4,True
2,0.61,deliveries,E4.1,4,0.50,3,False
2,0.61,quiet_corner,E4.1,4,0.75,4,True
2,0.61,wet_gloves,E4b.1,4,1.00,4,True
2,0.62,deliveries,E4.1,4,0.50,3,False
2,0.62,quiet_corner,E4.1,4,0.75,4,True
2,0.62,wet_gloves,E4b.1,4,1.00,4,True
2,0.63,deliveries,E4.1,4,0.50,3,False
2,0.63,quiet_corner,E4.1,4,0.75,4,True
2,0.63,wet_gloves,E4b.1,4,1.00,4,True
2,0.64,deliveries,E4.1,4,0.50,3,False
2,0.64,quiet_corner,E4.1,4,0.75,4,True
2,0.64,wet_gloves,E4b.1,4,1.00,4,True
2,0.65,deliveries,E4.1,4,0.50,3,False
2,0.65,quiet_corner,E4.1,4,0.75,4,True
2,0.65,wet_gloves,E4b.1,4,1.00,4,True
2,0.66,deliveries,E4.1,4,0.50,3,False
